alim_grp_nom_fr;alim_ssgrp_nom_fr;alim_ssssgrp_nom_fr;alim_nom_fr;Energie. Règlement UE N° 1169/2011 (kcal/100 g);Protéines. N x facteur de Jones (g/100 g);Glucides (g/100 g);Lipides (g/100 g);Viande;Riche Glucide;Riche Lipide
entrées et plats composés;salades composées et crudités;-;Taboule ou Salade de couscous, preemballe;179;4.88;23.7;6.7;false;true;false
entrées et plats composés;salades composées et crudités;-;Salade de pomme de terre a la piemontaise, preemballee;130;4.5;8.87;8.3;false;true;false
entrées et plats composés;salades composées et crudités;-;Crudite, sans assaisonnement (aliment moyen);29.9;0.94;3.07;0.7;false;true;false
entrées et plats composés;salades composées et crudités;-;Salade vegetale a base de boulgour et/ou quinoa et legumes, preemballee;168;3.79;17.4;8.3;false;true;false
entrées et plats composés;salades composées et crudités;-;Salade de chou ou Coleslaw, avec sauce, preemballee;105;0.94;5.78;8.1;false;false;true
entrées et plats composés;soupes;-;Soupe aux lentilles, preemballee a rechauffer;55;3.74;6.6;1.12;false;true;false
entrées et plats composés;soupes;-;Soupe a la volaille et aux legumes, preemballee a rechauffer;30.8;3.09;2.6;0.8;true;false;false
entrées et plats composés;soupes;-;Soupe aux legumes varies, preemballee a rechauffer;39.4;0.76;5.05;1.56;false;true;false
entrées et plats composés;soupes;-;Soupe de poissons et / ou crustaces, preemballee a rechauffer;42.8;3.45;2.88;1.79;true;false;false
entrées et plats composés;soupes;-;Soupe aux legumes varies, deshydratee reconstituee;34.5;0.86;4.43;1.22;false;true;false
entrées et plats composés;soupes;-;Soupe aux poireaux et pommes de terre, preemballee a rechauffer;37.1;0.79;4.46;1.51;false;true;false
entrées et plats composés;soupes;-;Soupe a la volaille et aux vermicelles, preemballee a rechauffer;30.8;1.3;3.86;1;false;true;false
entrées et plats composés;soupes;-;Bouillon de viande et legumes type pot-au-feu, prêt a consommer;4.8;0.2;0.1;0.4;false;false;true
entrées et plats composés;soupes;-;Soupe a l'oignon, preemballee a rechauffer;40.4;1.35;4.93;1.4;false;true;false
entrées et plats composés;soupes;-;Soupe aux champignons, preemballee a rechauffer;48.2;0.81;4.09;3.07;false;true;false
entrées et plats composés;soupes;-;Soupe a la carotte, preemballee a rechauffer;33.2;0.61;3.89;1.41;false;true;false
entrées et plats composés;soupes;-;Soupe a la tomate, preemballee a rechauffer;38.7;0.74;6.27;0.99;false;true;false
entrées et plats composés;soupes;-;Soupe chorba frik, a base de viande et de frik;62.9;3.75;5.4;2.5;false;true;false
entrées et plats composés;soupes;-;Soupe minestrone, preemballee a rechauffer;48.8;1.2;5.6;2;false;true;false
entrées et plats composés;soupes;-;Soupe au pistou, deshydratee reconstituee;30.4;1.2;5.2;0.35;false;true;false
entrées et plats composés;soupes;-;Soupe de poissons et / ou crustaces, deshydratee reconstituee;29;0.91;5.09;0.5;false;true;false
entrées et plats composés;soupes;-;Soupe asiatique, avec pates, deshydratee reconstituee;29.8;0.97;5.25;0.44;false;true;false
entrées et plats composés;soupes;-;Soupe marocaine, deshydratee reconstituee;34.3;1.2;5.77;0.55;false;true;false
entrées et plats composés;soupes;-;Soupe aux poireaux et pommes de terre, deshydratee reconstituee;26.1;0.63;4.84;0.41;false;true;false
entrées et plats composés;soupes;-;Soupe a la volaille et aux legumes, deshydratee reconstituee;27.3;0.99;4.58;0.44;false;true;false
entrées et plats composés;soupes;-;Bouillon de boeuf, deshydrate reconstitue;9.05;0.6;1.33;0.15;false;true;false
entrées et plats composés;soupes;-;Soupe aux asperges, deshydratee reconstituee;35.3;0.6;5.14;1.31;false;true;false
entrées et plats composés;soupes;-;Soupe a la tomate et aux vermicelles, preemballee a rechauffer;37.7;1.1;5.87;0.8;false;true;false
entrées et plats composés;soupes;-;Soupe aux cereales et aux legumes, deshydratee reconstituee;47.8;1.4;6.8;1.4;false;true;false
entrées et plats composés;soupes;-;Soupe a la tomate, deshydratee reconstituee;36.2;0.76;5.79;0.97;false;true;false
entrées et plats composés;soupes;-;Soupe aux champignons, deshydratee reconstituee;37.8;0.65;4.37;1.79;false;true;false
entrées et plats composés;soupes;-;Soupe a l'oignon, deshydratee reconstituee;24;0.58;4.37;0.4;false;true;false
entrées et plats composés;soupes;-;Soupe au potiron, preemballee a rechauffer;35.9;0.67;4.13;1.56;false;true;false
entrées et plats composés;soupes;-;Bouillon de volaille, deshydrate reconstitue;5.58;0.6;0.5;0.13;true;false;false
entrées et plats composés;soupes;-;Bouillon de legumes, deshydrate reconstitue;5.38;0.34;0.65;0.16;false;true;false
entrées et plats composés;soupes;-;Soupe a la tomate et aux vermicelles, deshydratee reconstituee;21.6;0.63;4.21;0.18;false;true;false
entrées et plats composés;soupes;-;Soupe a la volaille et aux vermicelles, deshydratee reconstituee;21.3;0.75;3.87;0.25;false;true;false
entrées et plats composés;soupes;-;Soupe au pistou, preemballee a rechauffer;31.9;2;4.1;0.5;false;true;false
entrées et plats composés;soupes;-;Soupe au potiron, deshydratee reconstituee;38.3;0.79;5.61;1.24;false;true;false
entrées et plats composés;soupes;-;Soupe asiatique, avec pates, preemballee a rechauffer;22.3;0.7;3.4;0.5;false;true;false
entrées et plats composés;soupes;-;Soupe minestrone, deshydratee reconstituee;31.3;1.14;5.53;0.34;false;true;false
entrées et plats composés;soupes;-;Soupe au cresson, deshydratee reconstituee;25.1;0.42;3.95;0.8;false;true;false
entrées et plats composés;soupes;-;Soupe au cresson, preemballee a rechauffer;34;1;5.4;0.8;false;true;false
entrées et plats composés;soupes;-;Soupe aux legumes avec fromage, preemballee a rechauffer;50.2;1.34;5.09;2.51;false;true;false
entrées et plats composés;soupes;-;Soupe aux legumes verts, preemballee a rechauffer;33.4;1;3.84;1.32;false;true;false
entrées et plats composés;soupes;-;Soupe aux legumes verts, deshydratee reconstituee;34.8;0.72;5.31;1.07;false;true;false
entrées et plats composés;soupes;-;Soupe aux pois casses, preemballee a rechauffer;56.7;2.68;6.25;1.98;false;true;false
entrées et plats composés;soupes;-;Soupe froide type Gaspacho ou Gazpacho, preemballee;32.8;0.65;3.38;1.62;false;true;false
entrées et plats composés;soupes;-;Soupe aux asperges, preemballee a rechauffer;133;4.6;4.7;10.4;false;false;true
entrées et plats composés;soupes;-;Soupe (aliment moyen);37.4;1.27;4.5;1.37;false;true;false
entrées et plats composés;soupes;-;Soupe miso, deshydratee reconstituee;17.1;1.38;2.18;0.5;false;true;false
entrées et plats composés;plats composés;plats de viande sans garniture;Tripes a la mode de Caen;116;20.4;0.3;3.68;true;false;false
entrées et plats composés;plats composés;plats de viande sans garniture;Tripes a la mode de Caen, preemballees;112;18.4;0.7;3.62;true;false;false
entrées et plats composés;plats composés;plats de viande sans garniture;Tripes a la tomate ou a la provencale;94.1;15.7;0.6;3.2;true;false;false
entrées et plats composés;plats composés;plats de viande sans garniture;Blanquette de veau;113;15.4;3.1;4;true;false;false
entrées et plats composés;plats composés;plats de viande sans garniture;Boeuf bourguignon;84.6;8.93;4.17;3.3;true;false;false
entrées et plats composés;plats composés;plats de viande sans garniture;Canard en sauce (poivre vert, chasseur, etc.), preemballe;145;9.55;10.2;7.3;false;true;false
entrées et plats composés;plats composés;plats de viande sans garniture;Lapin a la moutarde, preemballe;108;14.9;0.5;5;true;false;false
entrées et plats composés;plats composés;plats de viande sans garniture;Coq au vin;133;13;4;7;true;false;false
entrées et plats composés;plats composés;plats de viande sans garniture;Paupiette de veau;193;14.5;2.6;13.8;true;false;false
entrées et plats composés;plats composés;plats de viande sans garniture;Paupiette de volaille;164;23.9;8.8;3.4;true;false;false
entrées et plats composés;plats composés;plats de viande sans garniture;Viande en sauce (aliment moyen);104;11.3;3.65;4.6;true;false;false
entrées et plats composés;plats composés;plats de viande sans garniture;Poulet au curry et au lait de coco;124;10.6;3.15;6.9;true;false;false
entrées et plats composés;plats composés;plats de viande sans garniture;Meloukhia, plat a base de boeuf et corete, fait maison;189;10.6;1.2;14.7;false;false;true
